Codice Provincia,Totale Maschi,Totale Femmine,Totale Popolazione
001,1074296,1144910,2219206
002,81065,85519,166584
003,176928,185997,362925
004,288044,293754,581798
005,102693,106697,209390
006,199120,210272,409392
007,60712,63377,124089
008,101014,108230,209244
009,129653,140099,269752
010,393470,430142,823612
011,104708,111179,215887
012,428879,451214,880093
013,293322,303134,596456
014,88017,90781,178798
015,1575337,1666476,3241813
016,548139,555417,1103556
017,621517,634192,1255709
018,262271,273530,535801
019,173930,178312,352242
020,200269,205792,406061
021,265445,269467,534912
022,266766,275400,542166
023,457203,470607,927810
024,422967,431995,854962
025,97200,102504,199704
026,434108,446309,880417
027,410613,432932,843545
028,456297,476332,932629
029,112777,117986,230763
030,253242,267875,521117
031,68735,70335,139070
032,110976,119713,230689
033,139395,144347,283742
034,220560,229068,449628
035,259981,267159,527140
036,345930,357766,703696
037,491283,524325,1015608
038,165003,177058,342061
039,188514,198129,386643
040,191757,200885,392642
041,172844,180428,353272
042,225501,238918,464419
043,149554,157856,307410
044,98727,104698,203425
045,92066,97770,189836
046,185702,198255,383957
047,140427,149818,290245
048,480134,518297,998431
049,158750,170246,328996
050,203730,214253,417983
051,164326,172175,336501
052,127334,136467,263801
053,105716,112130,217846
054,312004,333502,645506
055,105704,114242,219946
056,151430,157400,308830
057,75121,76214,151335
058,2028515,2202936,4231451
059,280109,286115,566224
060,231998,240561,472559
061,441458,460445,901903
062,130469,136247,266716
063,1448252,1538493,2986745
064,197524,205405,402929
065,521335,544632,1065967
066,143924,146887,290811
067,147348,153756,301104
068,151451,162431,313882
069,182862,192353,375215
070,104548,108331,212879
071,296028,306366,602394
072,599459,630699,1230158
073,272571,289387,561958
074,184456,197490,381946
075,372618,403612,776230
076,173171,179319,352490
077,94818,97822,192640
078,330027,346092,676119
079,167504,176935,344439
080,254266,269525,523791
081,205141,213136,418277
082,583560,625259,1208819
083,291013,312967,603980
084,202004,214177,416181
085,122717,130971,253688
086,76095,81595,157690
087,520350,553739,1074089
088,156013,158897,314910
089,189866,196205,386071
090,233703,242654,476357
091,98986,102531,201517
092,203232,218256,421488
093,152908,157726,310634
094,40316,41099,81415
095,74865,77553,152418
096,82112,88612,170724
097,164689,168880,333569
098,112568,114775,227343
099,163565,174212,337777
100,130365,134904,265269
101,81148,82911,164059
102,75040,77153,152193
103,75143,79783,154926
108,426508,443605,870113
109,82957,86753,169710
110,188121,192970,381091
111,167324,170940,338264
